"corpus","war_wikipedia_2021"
"paragmulay",3
"hymenopteres",3
"dechambre",3
"paraonidae",3
"hypaeus",3
"ausserer",3
"demets",3
"austin",3
"841",3
"demokratiko",3
"hämäläinen",3
"335",3
"parodi",3
"336",3
"parsons",3
"ian",3
"iberica",3
"852",3
"ichneumonidarum",3
"ichneumonidea",3
"ichneumonoidea",3
"descripta",3
"860",3
"identity",3
"designation",3
"descripsit",3
"axel",3
"1551",3
"ignatz",3
"iguania",3
"ika-15",3
"111-114",3
"879",3
"leptonetidae",3
"pests",3
"ikeda",3
"2021",3
"pethiyagoda",3
"889",3
"philippi",3
"digital",3
"phlegra",3
"phaneropterinae",3
"philodromus",3
"indonesian",3
"indonesya",3
"pidonia",3
"pilargidae",3
"ine",3
"baja",3
"pillai",3
"1-20",3
"204",3
"pinakadako",3
"diri",3
"disiplina",3
"injurious",3
"pirata",3
"distenia",3
"balkanika",3
"pisa",3
"buquet",3
"divers",3
"909",3
"djenné",3
"inventory",3
"1353",3
"dociostaurus",3
"poco",3
"poecilosclerida",3
"lumbrineris",3
"1574",3
"irlanda",3
"irlando",3
"irmsch",3
"1576",3
"927",3
"donnell",3
"polynoinae",3
"islamiko",3
"pompei",3
"--",3
"drainage",3
"barreto",3
"37-41",3
"itinere",3
"ito",3
"predatory",3
"ivoire",3
"primo",3
"1849",3
"prinsloo",3
"j.b",3
"j.j",3
"probopyrus",3
"dulag",3
"j.v.b",3
"basilica",3
"jackson",3
"dungog",3
"protista",3
"965",3
"durudako",3
"jan",3
"dwor",3
"380",3
"javier",3
"jean-jacques",3
"jeddah",3
"marco",3
"eb",3
"jl",3
"bear",3
"389",3
"quatro",3
"quas",3
"jorge",3
"r.c.l",3
"1000",3
"editio",3
"behavior",3
"editor",3
"vom",3
"clytine",3
"r.g",3
"masi",3
"rabbi",3
"beiträge",3
"rai",3
"jun",3
"egregia",3
"jussieu",3
"jussila",3
"ehekutibo",3
"1-22",3
"eichler",3
"160",3
"ehlers",3
"a.p",3
"einer",3
"k.k",3
"real",3
"rebolusyon",3
"1601",3
"recueil",3
"212",3
"kadagatan",3
"rapini",3
"1233",3
"1603",3
"politika",3
"remarkable",3
"remipedia",3
"registros",3
"eleven",3
"republicii",3
"kalahari",3
"kalakip",3
"abracrini",3
"kalimantan",3
"abra",3
"revisional",3
"kamera",3
"emanuel",3
"rhachicreagra",3
"isopodes",3
"1-5",3
"empoascanara",3
"kanaar",3
"kanal",3
"214",3
"encolpius",3
"rivadavia",3
"beschreibungen",3
"beschriebenen",3
"robyns",3
"bezerra",3
"401",3
"karling",3
"karlsruhe",3
"rondani",3
"entomologischen",3
"rotifera",3
"rouse",3
"kasahiran",3
"403",3
"bibliya",3
"bicolor",3
"ruiz",3
"big",3
"kataw",3
"russell-smith",3
"epicaridea",3
"d.f",3
"1382",3
"407",3
"rutélines",3
"ryukyu",3
"1886.",3
"1622",3
"acrydiinae",3
"sabellinae",3
"sakhalin",3
"kemikal",3
"1388",3
"biología",3
"kenneth",3
"errantia",3
"kentucky",3
"salta",3
"acuta",3
"163",3
"413",3
"bisayas",3
"139",3
"sao",3
"sammlung",3
"sapporo",3
"administratibo",3
"essai",3
"kinatsila",3
"sawang",3
"aelurillus",3
"blacinae",3
"schinz",3
"km",3
"school",3
"420",3
"schultes",3
"kodigo",3
"ryland",3
"scleropactidae",3
"scolelepis",3
"eurasian",3
"kompyuter",3
"bobby",3
"427",3
"sedentary",3
"konsepto",3
"konstitusyonal",3
"agapanthiini",3
"sen",3
"semelhantes",3
"senior",3
"bohol",3
"evophrys",3
"sergei",3
"exalloniscus",3
"boksingero",3
"222",3
"except",3
"165",3
"krajcik",3
"exline",3
"ragni",3
"225",3
"seth",3
"agraria",3
"shakespeare",3
"egea",3
"1-24.",3
"agric",3
"agriculture",3
"bolívia",3
"shearer",3
"shenefelt",3
"fabriciola",3
"shunsuke",3
"sibiriae",3
"sicilia",3
"siday",3
"437",3
"sidney",3
"1656",3
"kuthy",3
"single",3
"441",3
"families",3
"kyoto",3
"sintetiko",3
"february",3
"aktibo",3
"kôichi",3
"köhler",3
"442",3
"445",3
"feet",3
"446",3
"sivanesan",3
"botswana",3
"boucek",3
"sobyet",3
"bowman",3
"233",3
"1665",3
"finlandya",3
"lampyridae",3
"lana",3
"234",3
"south-eastern",3
"235",3
"langona",3
"braconids",3
"special",3
"specimen",3
"larinia",3
"branco",3
"237",3
"alexander",3
"lata",3
"459",3
"latinoamerica",3
"spolecnosti",3
"springspinnen",3
"sr",3
"ssp",3
"stages",3
"rodas",3
"enoplognatha",3
"461",3
"stalle",3
"lazarov",3
"le-yi",3
"bregetova",3
"steatoda",3
"1673",3
"alice",3
"stanislaw",3
"lehislatura",3
"fourn",3
"1677",3
"strand",3
"framenau",3
"strasbourg",3
"lendenfeld",3
"1642",3
"leo",3
"leonardo",3
"stull",3
"britain",3
"alma",3
"leporinus",3
"lepthyphantes",3
"russian",3
"leptoneta",3
"subfamilia",3
"françaises",3
"suborder",3
"244",3
"subphylum",3
"409",3
"lepturini",3
"brno",3
"leslie",3
"sudheer",3
"s.f",3
"472",3
"1-14.",3
"1400",3
"lethierry",3
"letrán",3
"sulfate",3
"froggatt",3
"1401",3
"suláng",3
"1276",3
"1686",3
"brullé",3
"frustula",3
"fryxell",3
"superfamily",3
"libelluline",3
"bryan",3
"1688",3
"bryce",3
"lidong",3
"fullaway",3
"169",3
"ligid",3
"ligidium",3
"sweden",3
"syensya",3
"limestone",3
"g-7",3
"481",3
"lingkoranan",3
"linnavuori",3
"484",3
"linyphiid",3
"g.m",3
"buhatan",3
"487",3
"g.t",3
"buhse",3
"1695",3
"t.d.a",3
"t.g",3
"bulgarian",3
"lithocolletinae",3
"491",3
"takenoshin",3
"aeshnidae",3
"schmalfuss",3
"493",3
"tamanuki",3
"locket",3
"knox-dav",3
"garavello",3
"tanaman",3
"garcia-vidal",3
"loginova",3
"193",3
"burgess",3
"255",3
"long",3
"longhorn",3
"amphicoma",3
"burret",3
"buruana",3
"longirostris",3
"bush",3
"lopes",3
"bussing",3
"lorenzo",3
"amurensis",3
"amy",3
"amycus",3
"testacea",3
"testudines",3
"258",3
"terrestres",3
"byers",3
"5-7.",3
"geográfica",3
"luhman",3
"luiz",3
"lumbrineridae",3
"1700",3
"bắc",3
"analecta",3
"lund",3
"luo",3
"1936.",3
"onuphis",3
"thaler",3
"c.a.s",3
"261",3
"te",3
"gerstaecker",3
"lycosoidea",3
"505",3
"264",3
"507",3
"anchialine",3
"léon",3
"lévi",3
"ghosh",3
"giacomel",3
"tierra",3
"timugan",3
"timor",3
"m.t",3
"gigugutiayi",3
"andreas",3
"266",3
"cagayan",3
"gilles",3
"gillespie",3
"mackauer",3
"andrzej",3
"269",3
"caldasia",3
"track",3
"transferência",3
"transfer",3
"madison",3
"522",3
"tremella",3
"27(2",3
"magallanes",3
"triodonta",3
"magin",3
"ginsasapitan",3
"ginsurat",3
"annandale",3
"três",3
"giornale",3
"530",3
"aktibista",3
"glaw",3
"1-15.",3
"tyson",3
"1729",3
"535",3
"u.s.a",3
"goa",3
"275",3
"536",3
"maldives",3
"goby",3
"gobiid",3
"ulo",3
"uloborus",3
"277",3
"canadien",3
"mameli",3
"under",3
"manama",3
"gomphine",3
"universiteit",3
"543",3
"upemba",3
"mangrove",3
"upsaliensis",3
"544",3
"manipis",3
"union",3
"urgleptes",3
"gory",3
"1431",3
"gottfried",3
"morfologia",3
"v.v",3
"capek",3
"graf",3
"monte",3
"capitellidae",3
"var",3
"grande",3
"281",3
"mulaik",3
"march",3
"vegas",3
"marcos",3
"caracas",3
"venezolana",3
"1737",3
"margaret",3
"284",3
"marino",3
"285",3
"markgr",3
"civ",3
"grillacridi",3
"nadu",3
"aphalara",3
"196",3
"1670",3
"forening",3
"vilbaste",3
"nagmamaneho",3
"martinique",3
"carniolae",3
"marvin",3
"1742",3
"aphodiinae",3
"grylloidea",3
"voor",3
"561",3
"1744",3
"guam",3
"1961.",3
"1745",3
"1478",3
"1961a",3
"carson",3
"289",3
"masumoto",3
"1746",3
"materyales",3
"matig-a",3
"walk",3
"wallis",3
"1748",3
"maximus",3
"naturforschenden",3
"castelnau",3
"wasp",3
"175",3
"gusali",3
"catantopinae",3
"weitzman",3
"mclachlan",3
"neutrino",3
"wesm",3
"appendix",3
"mecistocephalidae",3
"caucasian",3
"caucasique",3
"wheeler",3
"niger",3
"gymnothorax",3
"1994a",3
"cave-dwelling",3
"294",3
"578",3
"cavernicola",3
"supplemento",3
"sulang",3
"wisconsin",3
"arabicus",3
"meghalaya",3
"1753",3
"1-17",3
"x.x",3
"1966a",3
"298",3
"xix",3
"aragian",3
"melzer",3
"145",3
"xvii",3
"memoir",3
"1-3",3
"menge",3
"mensuel",3
"aranearum",3
"587",3
"11-13",3
"aranae",3
"obscurus",3
"haluag",3
"ochi",3
"1760",3
"centuria",3
"mesa",3
"mesnil",3
"hernández",3
"yin",3
"bulacan",3
"gahan",3
"syn",3
"1694",3
"1787",3
"odonaten",3
"you",3
"hangin",3
"304",3
"yves",3
"z.h",3
"metazygia",3
"old",3
"1764",3
"1766",3
"szeptycki",3
"494",3
"ceratocanthidae",3
"000",3
"197",3
"metzner",3
"zelotes",3
"zemlya",3
"mezhov",3
"zhu",3
"131",3
"zikadenarten",3
"harmothoe",3
"t.j",3
"1790",3
"hartig",3
"microdon",3
"micromus",3
"1970a",3
"zoología",3
"hassler",3
"1454",3
"å",3
"études",3
"3-4.",3
"milne",3
"1775",3
"heimer",3
"aricidea",3
"aridelus",3
"minh",2
"1457",2
"holoplatys",2
"1972a",2
"misc",2
"1459",2
"6.",2
"1029",2
"2087",2
"check",2
"1461",2
"1462",2
"1170",2
"1975b",2
"mont",2
"612",2
"1172",2
"1465",2
"chili",2
"chilopod",2
"617",2
"619",2
"61–64",2
"1173",2
"chittenden",2
"muls",2
"1176",2
"1177",2
"1471",2
"905",2
"635",2
"639",2
"1179",2
"640",2
"myrmeleontidae",2
"myzostoma",2
"cie",2
"646",2
"empoascini",2
"648",2
"n.d",2
"cincta",2
"65-78.",2
"ciudad",2
"nag-iha",2
"jakobson",2
"1480",2
"1481",2
"666",2
"667",2
"cleomenini",2
"cleonymidae",2
"1482",2
"1485",2
"co",2
"672",2
"1487",2
"678",2
"napilì",2
"napoles",2
"1188",2
"1030",2
"689",2
"1490",2
"naturok",2
"691",2
"collegerunt",2
"1492",2
"697",2
"nederlandes",2
"1494",2
"nemertea",2
"neocaledonica",2
"neotropica",2
"7(4",2
"newstead",2
"1034",2
"eustala",2
"concepcion",2
"703",2
"708",2
"nigricans",2
"nikodym",2
"conocimiento",2
"fichberg",2
"farr",2
"712",2
"constant",2
"1036",2
"1193",2
"718",2
"north-american",2
"721",2
"coprinae",2
"723",2
"1037",2
"726",2
"1195",2
"novissime",2
"1196",2
"coryphaenoides",2
"735",2
"1504",2
"743",2
"744",2
"745",2
"occidental",2
"cragg",2
"1199",2
"craspedolepta",2
"cremastine",2
"oetophorus",2
"ofv",2
"cristata",2
"1510",2
"crustacean",2
"crustaces",2
"longicórnios",2
"cryptic",2
"764",2
"cryptolestes",2
"1514",2
"2(1",2
"767",2
"ctenus",2
"cuban",2
"garamba",2
"cumacea",2
"orinoco",2
"1518",2
"curupira",2
"777",2
"ossiannilsson",2
"tessellata",2
"2-24.",2
"oxyopes",2
"2-4.",2
"1524",2
"1525",2
"pag-uma",2
"paghaluag",2
"pagka-importante",2
"801",2
"1530",2
"807",2
"808",2
"1-9",2
"1536",2
"pandagat",2
"1537",2
"1044",2
"pangpang",2
"pangunahon",2
"1200",2
"1538",2
"820",2
"decticidae",2
"1202",2
"835",2
"1543",2
"836",2
"mitolohikal",2
"839",2
"1204",2
"601",2
"gregoryano",2
"charlotte",2
"606",2
"monarka",2
"monod",2
"840",2
"1546",2
"montenegro",2
"1206",2
"1547",2
"1468",2
"morrow",2
"w.-bao",2
"chloride",2
"1549",2
"w.r",2
"625",2
"mrácek",2
"mugambi",2
"moulton",2
"1207",2
"muisca",2
"guinea-bissau",2
"appliquee",2
"1979c",2
"1208",2
"munz",2
"patron",2
"2011.",2
"paukov",2
"nabilin",2
"861",2
"1981c",2
"nag-aaram",2
"652",2
"654",2
"1981.",2
"656",2
"2014.",2
"winston",2
"658",2
"h.v",2
"nagsurat",2
"nahataas",2
"nahasentro",2
"1554",2
"nakahara",2
"deuxième",2
"xixuthrus",2
"arai",2
"1486",2
"y.t",2
"1556",2
"1750",2
"662",2
"874",2
"nasirang",2
"875",2
"681",2
"878",2
"naumovich",2
"collinge",2
"ne",2
"nematomorpha",2
"2025",2
"didá",2
"885",2
"diels",2
"886",2
"2029",2
"121-128",2
"nf",2
"890",2
"891",2
"nicolaus",2
"nikolajev",2
"1560",2
"ninosca",2
"dimmock",2
"2031",2
"1210",2
"physique",2
"898",2
"705",2
"1561",2
"nominal",2
"714",2
"1563",2
"725",2
"2039",2
"9-11",2
"1565",2
"1999a",2
"736",2
"738",2
"o.l",2
"obispo",2
"740",2
"2048",2
"pirani",2
"1213",2
"746",2
"1317",2
"herbst",2
"2049",2
"pisaurinae",2
"901",2
"305-308",2
"902",2
"1050",2
"ogly",2
"crinoidea",2
"1216",2
"dixon",2
"757",2
"756",2
"oi",2
"ologamasidae",2
"76.",2
"1217",2
"911",2
"2053",2
"2054",2
"768",2
"hidroheno",2
"916",2
"2056",2
"pocklington",2
"1572",2
"poecilochaetidae",2
"culicoides",2
"himeji",2
"orientalis",2
"1219",2
"1795",2
"domingo",2
"922",2
"dominican",2
"orthognatha",2
"775",2
"2061",2
"686",2
"926",2
"2062",2
"780",2
"ost-",2
"93-101",2
"ottawa",2
"1579",2
"pomacentrus",2
"12(1–2",2
"2069",2
"p.n",2
"931",2
"czeka",2
"holmiae",2
"1220",2
"796",2
"pachnoda",2
"18-19.",2
"1042",2
"788",2
"1581",2
"paglugaring",2
"1221",2
"2074",2
"1583",2
"321-327",2
"809",2
"1330",2
"duffy",2
"952",2
"1103",2
"1533",2
"dugnit",2
"procleomenes",2
"954",2
"1587",2
"pananalapi",2
"2084",2
"1332",2
"1056",2
"811",2
"1224",2
"2005b",2
"atylotus",2
"1589",2
"proszynski",2
"961",2
"durban",2
"panmilitar",2
"hugh",2
"825",2
"durrani",2
"humboldt-universität",2
"966",2
"1226",2
"papandreou",2
"1337",2
"833",2
"paraguai",2
"aurea",2
"837",2
"2095",2
"psy",2
"973",2
"977",2
"2099",2
"1228",2
"i-",2
"pula",2
"846",2
"1590",2
"984",2
"1058",2
"i.z",2
"1109",2
"987",2
"1229",2
"derbidae",2
"854",2
"eau",2
"1593",2
"991",2
"1595",2
"21.",2
"995",2
"34(4",2
"designated",2
"997",2
"998",2
"1552",2
"999",2
"peracarida",2
"2-20.",2
"1598",2
"2017.",2
"québec",2
"edgar",2
"dewailly",2
"ika-25",2
"r.i",2
"r.s",2
"ragge",2
"peters",2
"edwin",2
"1345",2
"880",2
"1559",2
"881",2
"a.gray",2
"1346",2
"ramón",2
"ehersito",2
"ehiptanon",2
"rapuzzi",2
"1231",2
"dilaridae",2
"phrurolithus",2
"inc",2
"892",2
"eilica",2
"phyllocycla",2
"phyllis",2
"896",2
"dinamarka",2
"physopleurus",2
"ekawsyones",2
"bahá",2
"rectification",2
"2038",2
"1602",2
"director",2
"1604",2
"abakadahan",2
"1060",2
"1605",2
"inscitiae",2
"1568",2
"piotr",2
"rema",2
"1235",2
"elga",2
"903",2
"representative",2
"baltazar",2
"1608",2
"repubblica",2
"internationale",2
"plastik",2
"1352",2
"platycleis",2
"retirano",2
"reuter",2
"1350",2
"1237",2
"plectromerus",2
"912",2
"elongatus",2
"iphitimidae",2
"1238",2
"1355",2
"924",2
"irwin",2
"ischnolea",2
"polydesmida",2
"1357",2
"928",2
"2064",2
"rice",2
"emílio",2
"pomacanthidae",2
"ridescrizione",2
"2068",2
"1358",2
"dorothy",2
"riksmuseum",2
"rivulidae",2
"933",2
"1116",2
"936",2
"1054",2
"istatwa",2
"baronia",2
"downs",2
"rockista",2
"itsukushima",2
"942",2
"pribado",2
"947",2
"1222",2
"roman-contreras",2
"românia",2
"1617",2
"2076",2
"372",2
"1055",2
"2080",2
"j.g",2
"2081",2
"1618",2
"entomologisk",2
"j.y",2
"956",2
"achilidae",2
"rowan",2
"1240",2
"2088",2
"962",2
"963",2
"1588",2
"1119",2
"jalisco",2
"968",2
"964",2
"1366",2
"159-162",2
"pluwido",2
"jansen",2
"jamaican",2
"russia",2
"epicarideos",2
"rusyano",2
"1368",2
"974",2
"psyllids",2
"equatorial",2
"ryôji",2
"383",2
"pudong",2
"988",2
"acrocercops",2
"acrocercops-group",2
"ebihara",2
"pygmaea",2
"1245",2
"sabbadini",2
"pyrota",2
"992",2
"990",2
"1120",2
"eclipta",2
"1597",2
"racheli",2
"erythroneurini",2
"1629",2
"ramme",2
"espanola",2
"1630",2
"aditamentos",2
"española",2
"read",2
"especimenes",2
"1631",2
"espèce",2
"bemaraha",2
"establishment",2
"1633",2
"estadounidense",2
"397",2
"elapidae",2
"benito",2
"reino",2
"kahimtang",2
"adrien",2
"1635",2
"relihiyon",2
"reproduction",2
"1636",2
"bergoglio",2
"398",2
"kallunki",2
"revisione",2
"emmanouel",2
"prisopus",2
"bersyon",2
"1611",2
"berth",2
"ridl",2
"eumastacidae",2
"roepke",2
"1616",2
"scr",2
"1643",2
"acontias",2
"acoetidae",2
"rutelinae",2
"1383",2
"selecta",2
"afíns",2
"billie",2
"katulinan",2
"evan",2
"katzmann",2
"sadana",2
"1621",2
"sergeyevich",2
"1068",2
"agestor",2
"113-116",2
"1627",2
"1247",2
"ses",2
"kenyan",2
"addenda",2
"1257",2
"sex",2
"sand-eel",2
"birmania",2
"411.",2
"sammlungen",2
"1892.",2
"kingdom",2
"sato",2
"416",2
"sarangani",2
"shen",2
"estrada",2
"scale-insects",2
"shimura",2
"aeglaphilus",2
"shirley",2
"saramin",2
"1077",2
"klackenberg",2
"schiner",2
"1070",2
"1652",2
"schilling",2
"1250",2
"falsamblesthis",2
"schwedischen",2
"1654",2
"blattellidae",2
"schwarzer",2
"scorpaeniformes",2
"1260",2
"farron",2
"1657",2
"kong",2
"1009",2
"singapora",2
"singer",2
"sinha",2
"1262",2
"1074",2
"1647",2
"boica",2
"1361",2
"evelyn",2
"1263",2
"sistematica",2
"exetastes",2
"serranidae",2
"agricola",2
"bonar",2
"fabricia",2
"434",2
"1651",2
"smithiana",2
"ferrer",2
"social",2
"1655",2
"albericus",2
"sikorski",2
"1664",2
"sohn",2
"1267",2
"fieldiana",2
"albipennis",2
"1261",2
"fascicule",2
"1658",2
"file",2
"1659",2
"soobsch",2
"fioravante",2
"sistematici",2
"1669",2
"444",2
"souza-kury",2
"skillman",2
"specierum",2
"species-group",2
"449",2
"slovenia",2
"fitzgerald",2
"1266",2
"boury-esnault",2
"flechtmann",2
"solenopterini",2
"soni",2
"sond",2
"sorsogon",2
"braderochus",2
"lanzhu",2
"bragg",2
"fonda",2
"brahmina",2
"1671",2
"ford",2
"23a",2
"spotted",2
"brasilianus",2
"starfish",2
"stellatus",2
"stizocera",2
"1271",2
"aliquid",2
"storozhenko",2
"frag",2
"fra",2
"1679",2
"stuart",2
"studien",2
"francesa",2
"stygobiont",2
"243-248",2
"1273",2
"1681",2
"1680",2
"1083",2
"subic",2
"sueo",2
"1274",2
"levanidov",2
"1682",2
"frekwensiya",2
"1275",2
"sunod",2
"245-261",2
"1684",2
"frst",2
"alta",2
"sulu",2
"supplément",2
"suppression",2
"linden",2
"suwesya",2
"483",2
"1926-1927",2
"funnelweb",2
"1085",2
"syllis",2
"1696",2
"literarya",2
"synonymic",2
"amaurobioidinae",2
"livshitz",2
"syrphus",2
"1692",2
"amihanan-sidlangan",2
"25(1",2
"amber",2
"talavera",2
"1149",2
"17-19.",2
"254-256",2
"garrison",2
"gaimard",2
"ted",2
"25-28",2
"teknolohiya",2
"1697",2
"longicornis",2
"amphiprion",2
"gecko",2
"1088",2
"takao",2
"takeda",2
"geoffrey",2
"gerard",2
"109-113",2
"1-76",2
"c.e",2
"tapad",2
"c.g",2
"lyle",2
"ampharetidae",2
"ghai",2
"thripidae",2
"tiegh",2
"tidskrift",2
"tiger",2
"1286",2
"templo",2
"tonelada",2
"macrocentrinae",2
"1710",2
"trachelas",2
"1713",2
"1714",2
"testudinata",2
"ana",2
"1712",2
"madre",2
"maduwage",2
"523",2
"calliphoridae",2
"tewari",2
"1291",2
"1422",2
"1423",2
"1294",2
"1720",2
"1295",2
"1425",2
"270.",2
"theodore",2
"german",2
"theropoda",2
"turkeya",2
"1-8",2
"glomeris",2
"glover",2
"malabarba",2
"malaisie",2
"u''lláh",2
"1707",2
"giard",2
"maldanidae",2
"andean",2
"malgache",2
"tiil",2
"tillier",2
"timothy",2
"man-aawit-magsusurat",2
"giglio-tos",2
"gihap",2
"universidad",2
"manduca",2
"gordh",2
"glaresis",2
"gilimpyohi",2
"cantone",2
"549",2
"vasil",2
"551",2
"versailles",2
"griffith",2
"556",2
"marphysa",2
"transference",2
"martinez",2
"1439",2
"ginkilala",2
"1292",2
"ginkuha",2
"carpenter",2
"gryllides",2
"1090",2
"w.t",2
"matiryalis",2
"1022",2
"1091",2
"569",2
"walters",2
"1749",2
"troschel",2
"gintawag",2
"appl",2
"gintutukaran",2
"mclellan",2
"wermeille",2
"1723",2
"aptroot",2
"medisina",2
"whitfield",2
"1093",2
"tunis",2
"1726",2
"cbcp",2
"anomala",2
"melaky",2
"melolontha",2
"273.",2
"ubersicht",2
"anostomidae",2
"anoxia",2
"gobernador-heneral",2
"ansya",2
"1094",2
"centrali",2
"antarctica",2
"mercet",2
"yanâ-nga-nalingkod",2
"1167",2
"golovatch",2
"handl",2
"haplochromis",2
"zaher",2
"zanzibar",2
"univ",2
"haponesa",2
"methodo",2
"hapones",2
"cereal",2
"michalczyk",2
"michelena",2
"gossypii",2
"usda",2
"3-32.",2
"havs",2
"graham",2
"13-14",2
"mimetidae",2
"vanuatu",2
"minaj",2
"miniature",2
"chamela",2
"1972.",2
"anura",2
"1458",2
"miquel",2
"miras",2
"miscellaneous",2
"changes",2
"mission",2
"grecia",2
"greco",2
"1098",2
"mitjaev",2
"1972f",2
"vereeniging",2
"greenfield",2
"1097",2
"miturgidae",2
"600",2
"602",2
"moderno",2
"605",2
"604",2
"moenkhausia",2
"moffett",2
"grenadiers",2
"mohanasundaram",2
"607",2
"channa",2
"moldova",2
"molekula",2
"chazeau",2
"1460",2
"cheilostome",2
"1974a",2
"1974b",2
"609",2
"monaco",2
"money",2
"cheng",2
"chenopodiaceae",2
"chervei",2
"cheilosia",2
"mongolei",2
"1463",2
"1171",2
"groenlandiae",2
"610",2
"montane",2
"montero",2
"montego",2
"montgomery",2
"608",2
"613",2
"614",2
"visita",2
"615",2
"616",2
"618",2
"1466",2
"chiliensis",2
"13-30",2
"morfologici",2
"chinensis",2
"1467",2
"morillo",2
"aphodiinen",2
"chira",2
"morvan",2
"chiroptera",2
"chirotica",2
"motsch",2
"w.d",2
"1469",2
"620",2
"621",2
"guarro",2
"1976b",2
"1174",2
"mount",2
"chlorocyphidae",2
"622",2
"624",2
"mu",2
"1175",2
"627",2
"cho",2
"626",2
"628",2
"629",2
"chorologie",2
"guianensis",2
"1977a",2
"1978.",2
"chou",2
"wallach",2
"munis",2
"1978b",2
"christoph",2
"munro",2
"1978f",2
"chromis",2
"1470",2
"chromosoma",2
"murcia",2
"630",2
"music",2
"632",2
"633",2
"mutabilis",2
"muñoz",2
"637",2
"634",2
"636",2
"638",2
"churkin",2
"weedon",2
"weeks",2
"1472",2
"1178",2
"myriapodologica",2
"gustave",2
"myriopoda",2
"641",2
"mystacocarida",2
"myers",2
"642",2
"643",2
"644",2
"cichlids",2
"werff",2
"ciento",2
"ciidae",2
"647",2
"1474",2
"n.f",2
"n.l",2
"n.n",2
"1475",2
"n.t",2
"n:o",2
"1180",2
"1476",2
"65-68",2
"cistula",2
"1300",2
"naawas",2
"nachtrag",2
"citrus",2
"650",2
"1752",2
"1477",2
"1981d",2
"ciências",2
"653",2
"1181",2
"nagdadara",2
"1182",2
"clade",2
"655",2
"1479",2
"naghihimo",2
"arabian",2
"1982.",2
"claparède",2
"naghiusa",2
"659",2
"1302",2
"nagoya",2
"clark",2
"623",2
"1473",2
"woods",2
"657",2
"660",2
"661",2
"1983.",2
"1-32",2
"nagsusukol",2
"663",2
"664",2
"nagtúkod",2
"nahabutnga",2
"665",2
"clements",2
"naheed",2
"nahibalik",2
"arachnologica",2
"668",2
"nahimumutang",2
"669",2
"1483",2
"1984d",2
"nakabase",2
"67-72",2
"1184",2
"1985.",2
"1484",2
"nakasentro",2
"1985a",2
"1985b",2
"nalalain",2
"nakane",2
"670",2
"1985c",2
"1185",2
"1186",2
"coast",2
"namumutnga",2
"namatay",2
"coasts",2
"1986a",2
"hahniidae",2
"674",2
"675",2
"676",2
"673",2
"1986b",2
"nannophlebia",2
"677",2
"1187",2
"coccoid-inhabiting",2
"679",2
"coccinea",2
"1488",2
"nasaliwanan",2
"1987b",2
"nasaro",2
"671",2
"nansei",2
"coconut",2
"nasasabtan",2
"1489",2
"nasirbe",2
"683",2
"coelotinae",2
"natawhan",2
"1189",2
"natawo-ha-austria",2
"685",2
"687",2
"natawo-ha-hungarya",2
"nathaniel",2
"688",2
"nationali",2
"col.",2
"hamill",2
"1307",2
"nasr",2
"naturgeschichte",2
"naturhistorisk",2
"coleopterologische",2
"naturw",2
"colias",2
"naunat",2
"692",2
"693",2
"1491",2
"hank",2
"nayakan",2
"694",2
"1031",2
"near",2
"695",2
"696",2
"hanus",2
"nebula",2
"nederlandse",2
"698",2
"1493",2
"680",2
"690",2
"699",2
"1032",2
"neill",2
"nell",2
"zayas",2
"nemouridae",2
"neo",2
"nematocera",2
"1495",2
"neoclytus",2
"neoentomology",2
"colydiinae",2
"1496",2
"coléoptéres",2
"comb",2
"combinations",2
"neotrópicas",2
"nephtyidae",2
"1033",2
"1992c",2
"1497",2
"common",2
"1498",2
"neubeschreibung",2
"neuraeschna",2
"7-8.",2
"1499",2
"comparativo",2
"component",2
"arcticus",2
"7-8",2
"nevada",2
"zoologicke",2
"zoologisch",2
"harvey",2
"ngada",2
"119.",2
"ngadtu",2
"ngatanan",2
"hasselt",2
"neues",2
"neymar",2
"nguyen",2
"701",2
"1190",2
"706",2
"1310",2
"707",2
"nigricaudis",2
"nigripes",2
"1035",2
"conizonia",2
"1995.",2
"704",2
"709",2
"1770",2
"nimba",2
"ninoska",2
"1995b",2
"1191",2
"710",2
"1192",2
"711",2
"15-16.",2
"1-34.",2
"conspectus",2
"713",2
"constantineanu",2
"constellation",2
"716",2
"nonato",2
"717",2
"contrib",2
"719",2
"nordeste",2
"contribucion",2
"nordheim",2
"nordhavets",2
"nordiko",2
"norris",2
"1194",2
"north-eastern",2
"north-westen",2
"1183",2
"nemacheilinae",2
"722",2
"norvegica",2
"northwest",2
"norvegicae",2
"norwegano",2
"724",2
"coral",2
"30(2",2
"noti",2
"727",2
"helen",2
"729",2
"helfert",2
"1314",2
"728",2
"arita",2
"cordoba",2
"corduliidae",2
"1779",2
"nov.sp",2
"novaezealandiae",2
"1500",2
"coremia",2
"1315",2
"novum",2
"nr.1",2
"73.",2
"731",2
"ns",2
"1502",2
"1316",2
"hemichordata",2
"733",2
"734",2
"730",2
"732",2
"armadillidiidae",2
"armando",2
"nusa",2
"737",2
"hemipterologica",2
"nya",2
"nymph",2
"1197",2
"hemisferya",2
"cotabato",2
"739",2
"copula",2
"1505",2
"nýlander",2
"cotesia",2
"hemp",2
"hemsley",2
"armigeres",2
"1318",2
"oahu",2
"oaxaca",2
"cour",2
"courtes",2
"1783",2
"741",2
